Line Name,Station Name,Evening_Train,train_number,train_actual_time,WorkDay,train_hour_24,train_late_by_min
NJ TRANSIT - RVL,Bridgewater,FALSE,5516,1123,holiday,11,< 20
NJ TRANSIT - NEC,Newark,FALSE,3821,731,workday,7,< 20
NJ TRANSIT - ME,Summit,FALSE,408,701,workday,7,< 20
NJ TRANSIT - MBPJ,Plauderville,FALSE,42,543,workday,5,< 20
NJ TRANSIT - NEC,Edison,TRUE,7852,1734,holiday,17,20 to 40
NJ TRANSIT - NJCL,South Amboy,TRUE,3373,1851,workday,18,20 to 40
NJ TRANSIT - NEC,Jersey Ave,TRUE,3849,1509,workday,15,20 to 40
NJ TRANSIT - NEC,Edison,TRUE,3876,2029,workday,20,20 to 40
NJ TRANSIT - MOBO,Secaucus,FALSE,6226,1139,workday,11,20 to 40
NJ TRANSIT - ME,Gladstone,TRUE,430,1541,workday,15,20 to 40
NJ TRANSIT - NEC,New Brunswick,TRUE,3861,1729,workday,17,20 to 40
NJ TRANSIT - NEC,Metropark,TRUE,3721,1647,workday,16,20 to 40
NJ TRANSIT - NJCL,PSNY,FALSE,3231,946,workday,9,20 to 40
NJ TRANSIT - NJCL,Secaucus,FALSE,3504,835,workday,8,20 to 40
NJ TRANSIT - RVL,Union,FALSE,2406,556,workday,5,20 to 40
NJ TRANSIT - NEC,PSNY,FALSE,3936,1033,workday,10,20 to 40
NJ TRANSIT - PVL,River Edge,TRUE,2119,1653,holiday,16,20 to 40
NJ TRANSIT - PVL,Spring Valley,TRUE,2114,1403,holiday,14,20 to 40
NJ TRANSIT - RVL,Annandale,FALSE,5718,645,workday,6,20 to 40
NJ TRANSIT - ME,Broad St,TRUE,6667,2022,workday,20,20 to 40
NJ TRANSIT - ME,Summit,FALSE,6332,1028,workday,10,20 to 40
NJ TRANSIT - ME,PSNY,FALSE,6620,855,workday,8,20 to 40
NJ TRANSIT - RVL,NPS,TRUE,5521,1238,holiday,24,20 to 40
NJ TRANSIT - NEC,Newark Airport,FALSE,7826,1124,holiday,11,20 to 40
